Date,Description,Amount
01/03/2026,Whole Foods Market,87.43
01/04/2026,Shell Gas Station,52.10
01/05/2026,Netflix Subscription,15.99
01/06/2026,Starbucks Coffee,6.75
01/07/2026,Amazon.com Purchase,234.99
01/08/2026,Chipotle Mexican Grill,14.50
01/09/2026,Comcast Internet,79.99
01/10/2026,CVS Pharmacy,32.15
01/11/2026,Target,67.82
01/12/2026,Uber Ride,18.40
01/13/2026,Spotify Premium,10.99
01/14/2026,Trader Joe's,62.30
01/15/2026,Delta Airlines,389.00
01/16/2026,Marriott Hotel,275.50
01/17/2026,Planet Fitness,24.99
01/18/2026,McDonald's,9.87
01/19/2026,Home Depot,156.43
01/20/2026,Verizon Wireless,85.00
01/21/2026,Panera Bread,12.65
01/22/2026,Kroger Grocery,94.21
01/23/2026,Best Buy Electronics,549.99
01/24/2026,Uber Eats Delivery,28.90
01/25/2026,Sephora Beauty,43.50
01/26/2026,AMC Movie Theater,32.00
01/27/2026,Chevron Gas,48.75
01/28/2026,Adobe Creative Cloud,54.99
01/29/2026,Whole Foods Market,72.16
01/30/2026,Geico Insurance,142.00
01/31/2026,Rent Payment,1650.00
